,Post-30s,Pre-30s
current_energy_efficiency_count,30464.0,36523.0
current_energy_efficiency_mean,63.56384585084034,51.65572379048819
current_energy_efficiency_std,11.027823971518508,13.456321500645055
current_energy_efficiency_min,1.0,1.0
current_energy_efficiency_25%,58.0,46.0
current_energy_efficiency_50%,66.0,54.0
current_energy_efficiency_75%,71.0,60.0
current_energy_efficiency_max,103.0,96.0
environment_impact_current_count,30464.0,36523.0
environment_impact_current_mean,60.501181722689076,47.30378117898311
environment_impact_current_std,11.904209525497425,12.50256481853866
environment_impact_current_min,1.0,1.0
environment_impact_current_25%,53.0,40.0
environment_impact_current_50%,62.0,48.0
environment_impact_current_75%,69.0,55.0
environment_impact_current_max,105.0,109.0
energy_consumption_current_count,30464.0,36523.0
energy_consumption_current_mean,272.40352547268907,374.52534019658844
energy_consumption_current_std,103.20627240500048,133.3779438367961
energy_consumption_current_min,0.0,-64.0
energy_consumption_current_25%,205.0,290.0
energy_consumption_current_50%,254.0,353.0
energy_consumption_current_75%,319.0,423.0
energy_consumption_current_max,2333.0,2173.0
co2_emissions_current_count,30464.0,36523.0
co2_emissions_current_mean,4.342289259453781,6.781611587219012
co2_emissions_current_std,2.0858235245812633,4.387866508586962
co2_emissions_current_min,-0.5,-1.1
co2_emissions_current_25%,3.0,4.2
co2_emissions_current_50%,3.8,5.8
co2_emissions_current_75%,5.1,8.1
co2_emissions_current_max,50.0,211.0
lighting_cost_current_count,30464.0,36523.0
lighting_cost_current_mean,90.08203125,91.84401609944419
lighting_cost_current_std,40.153394778417386,43.33905143545827
lighting_cost_current_min,15.0,10.0
lighting_cost_current_25%,64.0,63.0
lighting_cost_current_50%,82.0,83.0
lighting_cost_current_75%,107.0,111.0
lighting_cost_current_max,1973.0,994.0
heating_cost_current_count,30464.0,36523.0
heating_cost_current_mean,830.9548647584033,1303.3397858883443
heating_cost_current_std,493.6368077836705,952.7610435648876
heating_cost_current_min,66.0,176.0
heating_cost_current_25%,529.0,760.0
heating_cost_current_50%,702.0,1070.0
heating_cost_current_75%,976.0,1553.0
heating_cost_current_max,12972.0,46573.0
hot_water_cost_current_count,30464.0,36523.0
hot_water_cost_current_mean,142.22370667016807,143.52216411576268
hot_water_cost_current_std,90.17493502178237,111.19140343086988
hot_water_cost_current_min,34.0,0.0
hot_water_cost_current_25%,94.0,93.0
hot_water_cost_current_50%,110.0,107.0
hot_water_cost_current_75%,156.0,134.0
hot_water_cost_current_max,1879.0,2260.0
